"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","563-1102-1-ND","CUS-12TB","SWITCH SLIDE SPDT 300MA 4V","SW2","1","0","0.87000","0.87"
"2","1","563-1103-1-ND","CUS-13TB","SWITCH SLIDE SP3T 300MA 4V","SW1","1","0","0.63000","0.63"
"3","10","P33ACT-ND","ERJ-6GEYJ330V","RES SMD 33 OHM 5% 1/8W 0805","R5,R6,R7,R8","10","0","0.03800","0.38"
"4","1","3147-B1701USD-20D000114U1930CT-ND","B1701USD-20D000114U1930","LED RED DIFFUSED 0805 SMD","LED3","1","0","0.10000","0.10"
"5","1","ED1543-ND","302-S101","CONN HEADER VERT 10POS 2.54MM","J2","1","0","0.37000","0.37"
"6","10","1276-6470-1-ND","CL21B105KBFNNNG","CAP CER 1UF 50V X7R 0805","C1,C2,C3,C4,C5,C6,C7","10","0","0.07500","0.75"
"7","1","MAX662ACSA+TCT-ND","MAX662ACSA+T","IC REG CHRG PUMP 12V 30MA 8SOIC","U1","1","0","9.21000","9.21"
"8","1","3147-B1701NG--20D000314U1930CT-ND","B1701NG--20D000314U1930","LED GREEN DIFFUSED 0805 SMD","LED1","1","0","0.11000","0.11"
"9","1","3147-B1701UY--20D000214U1930CT-ND","B1701UY--20D000214U1930","LED AMBER DIFFUSED 0805 SMD","LED2","1","0","0.10000","0.10"
"10","10","P2.2KACT-ND","ERJ-6GEYJ222V","RES SMD 2.2K OHM 5% 1/8W 0805","R1","10","0","0.03800","0.38"
"11","10","P10KACT-ND","ERJ-6GEYJ103V","RES SMD 10K OHM 5% 1/8W 0805","R2,R3,R4","10","0","0.03800","0.38"
"12","1","1528-1449-ND","2264","FT232H USB TO GPIO/SPI/I2C","","1","0","14.95000","14.95"
"13","1","H3DDH-1018G-ND","H3DDH-1018G","IDC CBL - HHKR10H/AE10G/HHKR10H","","1","0","1.50000","1.50"
"14","1","1568-1187-ND","CAB-09556","BUS PIRATE CABLE 12"" LENGTH","","1","0","5.50000","5.50"
