"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"C1,C2,C3,C4,C5,C6,C7","1u","~","000_LOCAL:C_0805","7","","GMC21X7R105K50NT"
"J2","Altera JTAG-A+VPP","datasheets/JTAG-A.pdf","000_LOCAL:IDC-Header_2x05_P2.54mm pcb-edge","1","","302-S101"
"JP1","VCC","~","000_LOCAL:PinHeader_1x04_P2.54mm_Horizontal","1","","PRPC004SBAN-M71RC"
"JP2","VPP","~","000_LOCAL:PinHeader_1x03_P2.54mm_Horizontal","1","","PRPC003SBAN-M71RC"
"LED1","AMBER","datasheets/B1701.pdf","000_LOCAL:LED_0805","1","","B1701UY--20D000214U1930"
"LED2","RED","datasheets/B1701.pdf","000_LOCAL:LED_0805","1","","B1701USD-20D000114U1930"
"LED3","GREEN","datasheets/B1701.pdf","000_LOCAL:LED_0805","1","","B1701NG--20D000314U1930"
"R1","2k2","~","000_LOCAL:R_0805","1","","ERJ-6GEYJ222V"
"R2,R3,R4","10k","datasheets/AOA0000C301.pdf","000_LOCAL:R_0805","3","","ERJ-6GEYJ103V"
"U2","MAX662A","datasheets/MAX662A.pdf","000_LOCAL:SOIC-8","1","","MAX662ACSA"
